,neuron_id,mean_firing_rate,cv2_isi,cluster,waveform_width,peak_asymmetry,channel,is_single_unit,session_name,group_name,experiment_name
87,120.0,1.1166936472845557,0.5390064176275985,slow_regular,72.0,0.23076923076923078,9,1,ESHOCK_08_LOC1,sham,ESHOCK
88,121.0,15.114165156831142,0.3674326856422015,fast_firing,74.0,0.24503311258278146,32,1,ESHOCK_08_LOC1,sham,ESHOCK
89,122.0,0.5244640554998888,0.4884088162640284,slow_regular,104.0,0.3076923076923077,23,1,ESHOCK_08_LOC1,sham,ESHOCK
90,123.0,1.2912956933161386,0.8539025160277486,slow_irregular,31.0,0.12156862745098039,32,1,ESHOCK_08_LOC1,sham,ESHOCK
91,124.0,0.8116541821869446,0.9955308743526203,slow_irregular,89.0,0.40271493212669685,23,1,ESHOCK_08_LOC1,sham,ESHOCK
92,126.0,1.1980988288586945,0.782891554224618,slow_irregular,51.0,0.1881918819188192,16,1,ESHOCK_08_LOC1,sham,ESHOCK
93,127.0,0.5833430442380555,0.9698137335113322,slow_irregular,29.0,0.11284046692607004,16,1,ESHOCK_08_LOC1,sham,ESHOCK
94,132.0,3.5323588718029146,0.25859569645908836,slow_regular,103.0,0.4204081632653061,5,1,ESHOCK_09_LOC1,sham,ESHOCK
95,133.0,3.3215052351150196,0.619331520854602,slow_regular,,,7,1,ESHOCK_09_LOC1,sham,ESHOCK
96,135.0,8.42936153486427,0.9162069495584612,fast_firing,44.0,0.16296296296296298,12,1,ESHOCK_09_LOC1,sham,ESHOCK
97,136.0,3.7229251752334256,0.2962743528859469,slow_regular,102.0,0.4811320754716981,12,1,ESHOCK_09_LOC1,sham,ESHOCK
98,137.0,1.7572992267403664,0.2589572406308642,slow_regular,51.0,0.17770034843205576,11,1,ESHOCK_09_LOC1,sham,ESHOCK
99,138.0,6.334140665321516,0.7891036532584631,slow_irregular,138.0,0.5564516129032258,25,1,ESHOCK_09_LOC1,sham,ESHOCK
100,139.0,2.782193769161799,0.3127821973285706,slow_regular,47.0,0.1649122807017544,13,1,ESHOCK_09_LOC1,sham,ESHOCK
101,140.0,3.958731516042948,0.7309521880149268,slow_irregular,79.0,0.265993265993266,7,1,ESHOCK_09_LOC1,sham,ESHOCK
102,141.0,9.312681461888674,0.8951943943533148,fast_firing,,,7,1,ESHOCK_09_LOC1,sham,ESHOCK
103,142.0,8.019293670092809,0.6550991365399003,fast_firing,98.0,0.4152542372881356,7,1,ESHOCK_09_LOC1,sham,ESHOCK
104,143.0,5.111927098826846,0.9856600333713929,slow_irregular,,,7,1,ESHOCK_09_LOC1,sham,ESHOCK
105,144.0,9.035794390845085,0.598585922307276,fast_firing,25.0,0.099601593625498,22,1,ESHOCK_09_LOC1,sham,ESHOCK
106,145.0,1.396291616264492,0.5801128169736037,slow_regular,25.0,0.10040160642570281,18,1,ESHOCK_09_LOC1,sham,ESHOCK
107,146.0,2.927650043566463,0.35297015823552225,slow_regular,131.0,0.4106583072100313,7,1,ESHOCK_09_LOC1,sham,ESHOCK
108,147.0,8.345259431129817,0.6684163527500806,fast_firing,138.0,0.5307692307692308,7,1,ESHOCK_09_LOC1,sham,ESHOCK
109,148.0,14.211542406715825,0.7185253089076576,fast_firing,,,7,1,ESHOCK_09_LOC1,sham,ESHOCK
110,149.0,4.716112400699084,0.7515156114231982,slow_irregular,,,7,1,ESHOCK_09_LOC1,sham,ESHOCK
111,150.0,4.596194657798668,0.34459558776766586,slow_regular,,,7,1,ESHOCK_09_LOC1,sham,ESHOCK
112,151.0,0.8962052652838423,0.8366404843291736,slow_irregular,21.0,0.08433734939759036,24,1,ESHOCK_09_LOC1,sham,ESHOCK
113,152.0,7.372813791497363,0.45688859124271725,slow_regular,20.0,0.08130081300813008,25,1,ESHOCK_09_LOC1,sham,ESHOCK
114,153.0,5.751303896660216,0.9583847931029019,slow_irregular,19.0,0.07755102040816327,24,1,ESHOCK_09_LOC1,sham,ESHOCK
115,154.0,12.874654820747528,0.36319434804259293,fast_firing,31.0,0.11969111969111969,28,1,ESHOCK_09_LOC1,sham,ESHOCK
116,155.0,5.952820267392087,0.4767237863640008,slow_regular,91.0,0.40444444444444444,28,1,ESHOCK_09_LOC1,sham,ESHOCK
117,156.0,5.721474800996641,0.8681895014119996,slow_irregular,90.0,0.4090909090909091,30,1,ESHOCK_09_LOC1,sham,ESHOCK
118,157.0,13.174157148965797,0.5307454934128435,fast_firing,20.0,0.08064516129032258,30,1,ESHOCK_09_LOC1,sham,ESHOCK
119,158.0,2.4982872807332868,0.6113421170256618,slow_regular,97.0,0.28955223880597014,7,1,ESHOCK_09_LOC1,sham,ESHOCK
120,159.0,15.355300802557636,0.8044358544432437,fast_firing,133.0,0.5341365461847389,7,1,ESHOCK_09_LOC1,sham,ESHOCK
121,160.0,6.536765066518129,0.6969215127225948,slow_irregular,,,7,1,ESHOCK_09_LOC1,sham,ESHOCK
122,161.0,3.3426497746859245,0.6683637661339147,slow_regular,138.0,0.9324324324324325,7,1,ESHOCK_09_LOC1,sham,ESHOCK
123,162.0,11.463837118158661,0.8413754502537666,fast_firing,129.0,0.36962750716332377,7,1,ESHOCK_09_LOC1,sham,ESHOCK
124,163.0,4.980071268576125,0.8805064903884371,slow_irregular,133.0,0.4418604651162791,7,1,ESHOCK_09_LOC1,sham,ESHOCK
125,164.0,16.26230994713881,0.9387814684469379,fast_firing,43.0,0.16475095785440613,32,1,ESHOCK_09_LOC1,sham,ESHOCK
126,165.0,1.376082084804997,0.4364414774083115,slow_regular,,,7,1,ESHOCK_09_LOC1,sham,ESHOCK
127,166.0,1.6160025469397834,0.38881412230663,slow_regular,110.0,0.3374233128834356,7,1,ESHOCK_09_LOC1,sham,ESHOCK
128,167.0,3.216409083900916,0.3735214091077905,slow_regular,129.0,0.5633187772925764,16,1,ESHOCK_09_LOC1,sham,ESHOCK
129,176.0,6.92518023667804,0.8608498447696409,slow_irregular,69.0,0.28870292887029286,14,1,ESHOCK_09_LOC1,sham,ESHOCK
130,177.0,8.859929624290116,0.5573512776515059,fast_firing,98.0,0.2934131736526946,7,1,ESHOCK_09_LOC1,sham,ESHOCK
131,178.0,1.2042688006740978,0.9589689373059757,slow_irregular,38.0,0.09895833333333333,7,1,ESHOCK_09_LOC1,sham,ESHOCK
132,179.0,1.7520803459715157,0.8635066696681218,slow_irregular,54.0,0.2872340425531915,7,1,ESHOCK_09_LOC1,sham,ESHOCK
133,180.0,0.7468506375398944,0.5247036523515372,slow_regular,39.0,0.3391304347826087,7,1,ESHOCK_09_LOC1,sham,ESHOCK
134,181.0,6.487765858171378,0.9637581783589649,slow_irregular,38.0,0.14393939393939395,8,1,ESHOCK_09_LOC1,sham,ESHOCK
135,182.0,5.113895445062438,0.704316480061041,slow_irregular,83.0,0.4486486486486487,20,1,ESHOCK_09_LOC1,sham,ESHOCK
136,183.0,6.661206735718323,0.2116607737405781,slow_regular,,,7,1,ESHOCK_09_LOC1,sham,ESHOCK
137,184.0,1.075874638097085,0.8104817823022571,slow_irregular,72.0,0.7058823529411765,7,1,ESHOCK_09_LOC1,sham,ESHOCK
138,185.0,2.3203290490613546,0.9116608324539159,slow_irregular,59.0,0.14081145584725538,7,1,ESHOCK_09_LOC1,sham,ESHOCK
139,1011.0,5.551292197605056,0.7054591565773836,slow_irregular,31.0,0.11969111969111969,16,1,hamilton_10,acute_cit,HAMILTON
140,1013.0,1.9904099471097223,0.26683365410650367,slow_regular,113.0,0.46122448979591835,21,1,hamilton_10,acute_cit,HAMILTON
141,1014.0,0.7166047422993889,0.6471719617394592,slow_regular,13.0,0.05394190871369295,31,1,hamilton_10,acute_cit,HAMILTON
142,1015.0,2.430874595044555,0.3080046812052261,slow_regular,43.0,0.16104868913857678,21,1,hamilton_10,acute_cit,HAMILTON
143,1016.0,0.5055102851208888,0.49274846083061413,slow_regular,44.0,0.16417910447761194,21,1,hamilton_10,acute_cit,HAMILTON
144,1019.0,1.7492155966200555,0.9291133550344728,slow_irregular,41.0,0.16205533596837945,14,1,hamilton_10,acute_cit,HAMILTON
145,1021.0,11.045869506649476,0.9890380014328243,fast_firing,53.0,0.19272727272727272,21,1,hamilton_03,acute_sal,HAMILTON
146,1022.0,2.240745398457127,0.58555477453458,slow_regular,19.0,0.07569721115537849,28,1,hamilton_03,acute_sal,HAMILTON
147,1024.0,8.011128961757072,0.9647775925258947,fast_firing,41.0,0.15708812260536398,29,1,hamilton_03,acute_sal,HAMILTON
148,1025.0,4.429936585677649,0.4688590756965722,slow_regular,35.0,0.13409961685823754,32,1,hamilton_03,acute_sal,HAMILTON
149,1026.0,5.542723878121853,0.7259157548935584,slow_irregular,34.0,0.13178294573643412,31,1,hamilton_03,acute_sal,HAMILTON
150,1027.0,5.861004987351138,0.797990720953657,slow_irregular,37.0,0.1417624521072797,32,1,hamilton_03,acute_sal,HAMILTON
151,1028.0,2.697136160675818,0.5849258119212767,slow_regular,38.0,0.14615384615384616,25,1,hamilton_03,acute_sal,HAMILTON
152,1029.0,10.393319356986634,0.9208962078541225,fast_firing,54.0,0.22131147540983606,30,1,hamilton_03,acute_sal,HAMILTON
153,1030.0,7.705770160152689,0.9710507580406408,fast_firing,102.0,0.51,27,1,hamilton_03,acute_sal,HAMILTON
154,1031.0,6.076937931308445,0.44538632450204696,slow_regular,31.0,0.1225296442687747,31,1,hamilton_04,acute_cit,HAMILTON
155,1032.0,5.515542676642001,0.5758259725534012,slow_regular,24.0,0.09836065573770492,32,1,hamilton_04,acute_cit,HAMILTON
156,1034.0,4.494680634779167,0.5784516040408547,slow_regular,29.0,0.11372549019607843,31,1,hamilton_04,acute_cit,HAMILTON
157,1035.0,3.7892320199013336,0.5878474088651767,slow_regular,45.0,0.16483516483516483,25,1,hamilton_04,acute_cit,HAMILTON
158,1036.0,1.860393598565,0.8295385825067301,slow_irregular,37.0,0.13454545454545455,25,1,hamilton_04,acute_cit,HAMILTON
159,1037.0,0.7122222222212778,0.9408293987433363,slow_irregular,87.0,0.42857142857142855,9,1,hamilton_04,acute_cit,HAMILTON
160,1038.0,0.640318378159389,0.7107480256971787,slow_regular,48.0,0.17777777777777778,25,1,hamilton_04,acute_cit,HAMILTON
161,1044.0,2.715717629540445,0.7683155494242487,slow_irregular,34.0,0.1328125,25,1,hamilton_04,acute_cit,HAMILTON
162,1045.0,2.966592132927,0.6208325336173639,slow_regular,46.0,0.19327731092436976,21,1,hamilton_04,acute_cit,HAMILTON
